IP,STATUS,DATE | TIME
8.8.8.2,Offline,2026-06-25 | 14:01:08
8.8.8.3,Offline,2026-06-25 | 14:01:08
8.8.8.5,Offline,2026-06-25 | 14:01:08
8.8.8.6,Offline,2026-06-25 | 14:01:08
8.8.8.4,Offline,2026-06-25 | 14:01:08
8.8.8.7,Offline,2026-06-25 | 14:01:08
8.8.8.8,Offline,2026-06-25 | 14:01:08
8.8.8.2,Offline,2026-06-25 | 14:01:18
8.8.8.3,Offline,2026-06-25 | 14:01:18
8.8.8.4,Offline,2026-06-25 | 14:01:18
8.8.8.5,Offline,2026-06-25 | 14:01:18
8.8.8.6,Offline,2026-06-25 | 14:01:18
8.8.8.7,Offline,2026-06-25 | 14:01:18
8.8.8.8,Offline,2026-06-25 | 14:01:18
